time,action,isGCD,castTime
440.35250000000076,Kaeshi: Setsugekka,1,0
440.90250000000077,Hissatsu: Shinten,0,0
442.49625000000077,Gyofu,1,0
444.6400000000008,Jinpu,1,0
445.19000000000074,True North,0,0
446.78375000000074,Gekko,1,0
448.92750000000063,Gyofu,1,0
449.47750000000065,Hissatsu: Shinten,0,0
451.07125000000065,Shifu,1,0
453.2150000000006,Kasha,1,0
455.3587500000006,Gyofu,1,0
457.5025000000006,Midare Setsugekka,1,1.3
459.64625000000063,Kaeshi: Setsugekka,1,0
461.7900000000006,Yukikaze,1,0
463.93375000000054,Higanbana,1,1.3
466.0775000000005,Gyofu,1,0
466.6275000000005,Feint,0,0
467.1775000000005,Tengentsu,0,0
468.22125000000057,Yukikaze,1,0
470.3650000000006,Gyofu,1,0
470.9150000000006,Pop Tengentsu,0,0
472.5087500000006,Jinpu,1,0
473.0587500000006,Hissatsu: Gyoten,0,0
474.6525000000006,Gekko,1,0
475.2025000000006,Meikyo Shisui,0,0
476.79625000000055,Kasha,1,0
477.34625000000057,Tincture,0,0
477.9962500000005,Shoha,0,0
478.94000000000045,Tendo Setsugekka,1,1.3
480.3525000000005,Hissatsu: Shinten,0,0
481.08375000000046,Tendo Kaeshi Setsugekka,1,0
481.6337500000005,Hissatsu: Shinten,0,0
483.2275000000005,Gekko,1,0
483.7775000000005,True North,0,0
485.3712500000005,Kasha,1,0
487.51500000000044,Gyofu,1,0
488.0650000000004,Hissatsu: Shinten,0,0
489.6587500000004,Yukikaze,1,0
490.2087500000004,Hissatsu: Shinten,0,0
491.39849999999944,Ikishoten,0,0
491.9484999999994,Ogi Namikiri,1,1.3
493.3609999999992,Zanshin,0,0
494.09224999999924,Kaeshi: Namikiri,1,0
495.33375,Hissatsu: Senei,0,0
495.88374999999996,Meikyo Shisui,0,0
496.4337499999999,Tendo Setsugekka,1,1.3
497.8462499999998,Shoha,0,0
498.5774999999999,Tendo Kaeshi Setsugekka,1,0
499.12749999999994,Hissatsu: Gyoten,0,0
500.7212499999998,Gekko,1,0
